created_at,pm25_ugm3,pm10_ugm3,co_ugm3,no2_ugm3,o3_ugm3,temperature,humidity,id_analog,o3_analog,pm25_analog,pm10_analog,no2_analog,co_analog,pm2_5_ispu,pm10_ispu,co_ispu,no2_ispu,o3_ispu,predicted_category,actual_category,segmen,lokasi
2026-06-10 01:52:47.796051+00:00,29.16,36.05,1245.9,0,19.63,34.9,53.3,48.0,0.0,214.0,215.0,4095.0,2451.0,65.58,34.19,15.31,0.0,8.18,Sedang,Sedang,2,Ngagel
2026-06-10 01:55:51.598422+00:00,29.69,39.3,1169.35,0,19.63,34.9,55.1,51.0,0.0,221.0,220.0,4095.0,2389.0,67.12,35.35,14.22,0.0,8.18,Sedang,Sedang,2,Ngagel
2026-06-10 01:25:16.194762+00:00,25.82,30.48,1089.14,0,19.63,34.6,56.8,21.0,0.0,194.0,199.0,4095.0,2416.0,61.16,30.48,14.69,0.0,8.18,Sedang,Sedang,2,Ngagel
2026-06-10 01:40:34.196817+00:00,30.4,32.1,1213.44,0,19.63,34.9,54.3,36.0,0.0,234.0,207.0,4095.0,2416.0,69.99,32.33,14.69,0.0,8.18,Sedang,Sedang,2,Ngagel
2026-06-10 01:28:19.964510+00:00,27.93,31.64,1156.9,0,19.63,34.8,56.9,24.0,0.0,204.0,171.0,4095.0,2371.0,63.37,23.97,13.92,0.0,8.18,Sedang,Sedang,2,Ngagel
2026-06-10 01:17:07.399217+00:00,24.23,30.71,1248.9,0,19.63,33.3,62.2,13.0,0.0,198.0,195.0,4095.0,2480.0,62.04,29.55,15.86,0.0,8.18,Sedang,Sedang,2,Ngagel
2026-06-10 01:19:09.375423+00:00,25.82,31.41,1244.4,0,19.63,33.8,60.6,15.0,0.0,193.0,189.0,4095.0,2443.0,60.94,28.15,15.17,0.0,8.18,Sedang,Sedang,2,Ngagel
2026-06-10 01:46:41.381909+00:00,28.81,36.05,1260.99,0,19.63,35.0,57.0,42.0,0.0,235.0,222.0,4095.0,2423.0,70.21,35.82,14.81,0.0,8.18,Sedang,Sedang,2,Ngagel
2026-06-10 01:15:04.961537+00:00,24.93,30.94,1293.38,0,19.63,32.8,62.3,11.0,0.0,232.0,210.0,4095.0,2433.0,69.55,33.03,14.99,0.0,8.18,Sedang,Sedang,2,Ngagel
2026-06-10 01:21:11.608190+00:00,28.28,32.8,1162.42,0,19.63,34.1,59.1,17.0,0.0,196.0,196.0,4095.0,2468.0,61.6,29.78,15.63,0.0,8.18,Sedang,Sedang,2,Ngagel
2026-06-09 23:39:21.128053+00:00,28.11,30.01,1544.66,0,19.63,30.7,89.8,,,,,,,,,,,,Sedang,,1,Ngagel
2026-06-10 01:23:14.162689+00:00,24.76,36.28,1216.35,0,19.63,34.4,57.3,19.0,0.0,210.0,200.0,4095.0,2377.0,64.69,30.71,14.02,0.0,8.18,Sedang,Sedang,2,Ngagel
2026-06-10 01:13:01.885353+00:00,24.93,30.71,1376.27,0,19.63,32.3,63.7,9.0,0.0,208.0,201.0,4095.0,2500.0,64.25,30.94,16.25,0.0,8.18,Sedang,Sedang,2,Ngagel
2026-06-10 01:59:55.389990+00:00,25.46,27.69,1254.92,0,19.63,34.9,51.8,55.0,0.0,204.0,201.0,4095.0,2427.0,63.37,30.94,14.88,0.0,8.18,Sedang,Sedang,2,Ngagel
2026-06-10 01:18:08.472515+00:00,24.23,28.15,1213.44,0,19.63,33.6,61.1,14.0,0.0,193.0,200.0,4095.0,2467.0,60.94,30.71,15.61,0.0,8.18,Sedang,Sedang,2,Ngagel
2026-06-10 01:35:28.874557+00:00,32.16,42.79,1204.76,0,19.63,34.7,55.2,31.0,0.0,231.0,215.0,4095.0,2429.0,69.33,34.19,14.92,0.0,8.18,Sedang,Sedang,2,Ngagel
2026-06-10 01:08:57.217019+00:00,26.17,42.32,1489.56,0,19.63,31.1,70.2,5.0,0.0,204.0,212.0,4095.0,2672.0,63.37,33.5,20.11,0.0,8.18,Sedang,Sedang,2,Ngagel
2026-06-10 01:26:17.717947+00:00,25.64,34.19,1089.14,0,19.63,34.8,56.6,22.0,0.0,202.0,199.0,4095.0,2352.0,62.93,30.48,13.61,0.0,8.18,Sedang,Sedang,2,Ngagel
2026-06-10 01:10:59.560795+00:00,30.22,36.52,1465.65,0,19.63,31.7,66.7,7.0,0.0,256.0,225.0,4095.0,2621.0,74.85,36.52,18.85,0.0,8.18,Sedang,Sedang,2,Ngagel
2026-06-10 02:02:59.897549+00:00,25.82,29.31,1225.12,0,19.63,34.9,51.4,58.0,0.0,191.0,202.0,4095.0,2448.0,60.5,31.17,15.26,0.0,8.18,Sedang,Sedang,2,Ngagel
2026-06-10 01:34:27.522133+00:00,30.93,34.19,1193.29,0,19.63,35.0,56.6,30.0,0.0,259.0,291.0,4095.0,2352.0,75.52,50.92,13.61,0.0,8.18,Sedang,Sedang,2,Ngagel
2026-06-10 01:57:53.720400+00:00,24.93,26.29,1222.19,0,19.63,34.9,53.2,53.0,0.0,214.0,205.0,4095.0,2374.0,65.58,31.87,13.97,0.0,8.18,Sedang,Sedang,2,Ngagel
2026-06-10 01:49:44.437731+00:00,29.16,35.35,1166.57,0,19.63,34.9,53.5,45.0,0.0,212.0,205.0,4095.0,2358.0,65.14,31.87,13.71,0.0,8.18,Sedang,Sedang,2,Ngagel
2026-06-10 01:43:37.320752+00:00,27.23,27.46,1152.78,0,19.63,34.9,54.9,39.0,0.0,219.0,199.0,4095.0,2452.0,66.68,30.48,15.33,0.0,8.18,Sedang,Sedang,2,Ngagel
2026-06-10 01:20:10.693068+00:00,24.76,29.78,1250.4,0,19.63,34.0,59.7,16.0,0.0,202.0,203.0,4095.0,2464.0,62.93,31.41,15.55,0.0,8.18,Sedang,Sedang,2,Ngagel
2026-06-10 01:44:38.467280+00:00,29.52,36.05,1111.21,0,19.63,35.1,55.5,40.0,0.0,210.0,186.0,4095.0,2400.0,64.69,27.46,14.41,0.0,8.18,Sedang,Sedang,2,Ngagel
2026-06-10 01:31:23.792017+00:00,27.93,34.19,1220.73,0,19.63,34.7,56.7,27.0,0.0,205.0,217.0,4095.0,2357.0,63.59,34.66,13.69,0.0,8.18,Sedang,Sedang,2,Ngagel
2026-06-10 02:01:58.455676+00:00,23.88,31.17,1220.73,0,19.63,35.0,51.1,57.0,0.0,169.0,183.0,4095.0,2527.0,55.64,26.76,16.79,0.0,8.18,Sedang,Sedang,2,Ngagel
2026-06-10 01:38:32.143359+00:00,28.81,33.96,1162.42,0,19.63,35.0,55.5,34.0,0.0,224.0,237.0,4095.0,2413.0,67.79,39.3,14.63,0.0,8.18,Sedang,Sedang,2,Ngagel
2026-06-10 01:56:52.762515+00:00,27.93,31.87,1117.8,0,19.63,35.1,53.5,52.0,0.0,224.0,237.0,4095.0,2412.0,67.79,39.3,14.62,0.0,8.18,Sedang,Sedang,2,Ngagel
